OACI,Aeropuerto,Latitud,Longitud,Fecha,METAR,FECHA_HORA_REPORTE
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 15:05:00,SKBO 081500Z 07007KT 040V140 9999 BKN045 19/08 Q1028 =,2026-05-08 15:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 16:05:00,SKBO 081600Z 09006KT 040V150 9999 BKN050 20/08 Q1027 NOSIG =,2026-05-08 16:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 17:05:00,SKBO 081700Z 09007KT 050V160 9999 BKN050 20/08 Q1026 NOSIG =,2026-05-08 17:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 18:05:00,SKBO 081800Z 10006KT 010V170 9999 BKN050 21/07 Q1026 NOSIG =,2026-05-08 18:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 19:05:00,SKBO 081900Z 06008KT 020V120 9999 BKN050 21/09 Q1024 NOSIG =,2026-05-08 19:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 20:05:00,SKBO 082000Z 10006KT 030V140 9999 FEW030TCU BKN052 20/09 Q1024 NOSIG RMK TCUNW =,2026-05-08 20:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 21:05:00,SKBO 082100Z 24007KT 130V260 9999 SCT038TCU BKN055 18/13 Q1023 NOSIG RMK TCUSW/NW =,2026-05-08 21:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 22:05:00,SKBO 082200Z 27005KT 170V310 9999 VCSH FEW025TCU SCT046 18/12 Q1023 NOSIG RMK TCUVCSH/NW =,2026-05-08 22:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 23:05:00,SKBO 082300Z 29006KT 260V320 9999 VCSH FEW015TCU SCT029 16/14 Q1024 NOSIG RMK TCUVCSH/NW =,2026-05-08 23:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 00:05:00,SKBO 090000Z VRB02KT 9999 FEW020 SCT080 15/14 Q1025 NOSIG =,2026-05-09 00:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 01:05:00,SKBO 090100Z VRB02KT 9999 FEW025 13/13 Q1026 NOSIG =,2026-05-09 01:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 02:05:00,SKBO 090200Z 35003KT 9999 FEW012 11/11 Q1027 NOSIG =,2026-05-09 02:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 03:05:00,SKBO 090300Z 03002KT 9999 MIFG FEW015 11/11 Q1027 =,2026-05-09 03:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 04:05:00,SKBO 090400Z 05006KT 9999 FEW010 11/10 Q1027 NOSIG =,2026-05-09 04:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 05:05:00,SKBO 090500Z 04004KT 9999 FEW015 11/10 Q1027 NOSIG =,2026-05-09 05:05:00
